Latitude,Longitude,Risk_Rating
25.262882,91.739061,0.4595
25.262882,91.749012,0.8507
25.262882,91.758962,0.8688
25.262882,91.768913,0.3546
25.262882,91.778863,0.4005
25.262882,91.788814,0.3482
25.262882,91.798764,0.4061
25.262882,91.808715,0.3783
25.262882,91.818666,0.1411
25.262882,91.828616,0.8092
25.262882,91.838567,0.3251
25.262882,91.848517,0.893
25.262882,91.858468,0.387
25.262882,91.868418,0.4537
25.262882,91.878369,0.0749
25.262882,91.88832,0.4884
25.262882,91.89827,0.0891
25.262882,91.908221,0.7002
25.262882,91.918171,0.6218
25.262882,91.928122,0.6587
25.262882,91.938072,0.6332
25.262882,91.948023,0.623
25.262882,91.957974,0.5332
25.262882,91.967924,0.5756
25.262882,91.977875,0.8159
25.262882,91.987825,0.1026
25.262882,91.997776,0.4253
25.262882,92.007726,0.1154
25.262882,92.017677,0.5086
25.262882,92.027628,0.1259
25.262882,92.037578,0.4779
25.262882,92.047529,0.5313
25.271865,91.55,0.3615
25.271865,91.559951,0.2104
25.271865,91.569901,0.154
25.271865,91.579852,0.1712
25.271865,91.589802,0.6098
25.271865,91.599753,0.9145
25.271865,91.609703,0.2029
25.271865,91.619654,0.4618
25.271865,91.629605,0.8028
25.271865,91.639555,0.8186
25.271865,91.649506,0.7571
25.271865,91.659456,0.6285
25.271865,91.669407,0.8953
25.271865,91.679357,0.2737
25.271865,91.689308,0.2268
25.271865,91.699259,0.1111
25.271865,91.709209,0.1133
25.271865,91.71916,0.4913
25.271865,91.72911,0.4692
25.271865,91.739061,0.8507
25.271865,91.749012,0.3161
25.271865,91.758962,0.1334
25.271865,91.768913,0.3255
25.271865,91.778863,0.3353
25.271865,91.788814,0.1303
25.271865,91.798764,0.8179
25.271865,91.808715,0.1223
25.271865,91.818666,0.3559
25.271865,91.828616,0.3043
25.271865,91.838567,0.3567
25.271865,91.848517,0.5349
25.271865,91.858468,0.4651
25.271865,91.868418,0.4429
25.271865,91.878369,0.089
25.271865,91.88832,0.4464
25.271865,91.89827,0.5077
25.271865,91.908221,0.5378
25.271865,91.918171,0.6299
25.271865,91.928122,0.6209
25.271865,91.938072,0.1655
25.271865,91.948023,0.1695
25.271865,91.957974,0.21
25.271865,91.967924,0.3313
25.271865,91.977875,0.5903
25.271865,91.987825,0.2565
25.271865,91.997776,0.3636
25.271865,92.007726,0.3767
25.271865,92.017677,0.1031
25.271865,92.027628,0.4752
25.271865,92.037578,0.5936
25.271865,92.047529,0.0962
25.280848,91.55,0.4183
25.280848,91.559951,0.3833
25.280848,91.569901,0.3912
25.280848,91.579852,0.4482
25.280848,91.589802,0.8526
25.280848,91.599753,0.861
25.280848,91.609703,0.528
25.280848,91.619654,0.4648
25.280848,91.629605,0.8112
25.280848,91.639555,0.8045
25.280848,91.649506,0.7716
25.280848,91.659456,0.7169
25.280848,91.669407,0.1344
25.280848,91.679357,0.1483
25.280848,91.689308,0.2273
25.280848,91.699259,0.1027
25.280848,91.709209,0.0968
25.280848,91.71916,0.5405
25.280848,91.72911,0.4531
25.280848,91.739061,0.385
25.280848,91.749012,0.8073
25.280848,91.758962,0.7948
25.280848,91.768913,0.8125
25.280848,91.778863,0.826
25.280848,91.788814,0.291
25.280848,91.798764,0.3286
25.280848,91.808715,0.8132
25.280848,91.818666,0.3114
25.280848,91.828616,0.8339
25.280848,91.838567,0.6196
25.280848,91.848517,0.8787
25.280848,91.858468,0.8202
25.280848,91.868418,0.4339
25.280848,91.878369,0.4637
25.280848,91.88832,0.1373
25.280848,91.89827,0.7717
25.280848,91.908221,0.0829
25.280848,91.918171,0.6151
25.280848,91.928122,0.862
25.280848,91.938072,0.5445
25.280848,91.948023,0.316
25.280848,91.957974,0.5318
25.280848,91.967924,0.8142
25.280848,91.977875,0.8295
25.280848,91.987825,0.3423
25.280848,91.997776,0.3645
25.280848,92.007726,0.3668
25.280848,92.017677,0.5879
25.280848,92.027628,0.7547
25.280848,92.037578,0.332
25.280848,92.047529,0.1781
25.289831,91.55,0.4706
25.289831,91.559951,0.4084
25.289831,91.569901,0.314
25.289831,91.579852,0.4357
25.289831,91.589802,0.4187
25.289831,91.599753,0.8668
25.289831,91.609703,0.3901
25.289831,91.619654,0.3348
25.289831,91.629605,0.3298
25.289831,91.639555,0.3942
25.289831,91.649506,0.8177
25.289831,91.659456,0.2583
25.289831,91.669407,0.2623
25.289831,91.679357,0.2352
25.289831,91.689308,0.1022
25.289831,91.699259,0.0842
25.289831,91.709209,0.1153
25.289831,91.71916,0.1155
25.289831,91.72911,0.8847
25.289831,91.739061,0.1139
25.289831,91.749012,0.2945
25.289831,91.758962,0.1387
25.289831,91.768913,0.4474
25.289831,91.778863,0.4232
25.289831,91.788814,0.3612
25.289831,91.798764,0.3469
25.289831,91.808715,0.3353
25.289831,91.818666,0.7893
25.289831,91.828616,0.7818
25.289831,91.838567,0.9434
25.289831,91.848517,0.8324
25.289831,91.858468,0.7901
25.289831,91.868418,0.8551
25.289831,91.878369,0.776
25.289831,91.88832,0.4329
25.289831,91.89827,0.1044
25.289831,91.908221,0.1675
25.289831,91.918171,0.5731
25.289831,91.928122,0.4357
25.289831,91.938072,0.1013
25.289831,91.948023,0.5189
25.289831,91.957974,0.6569
25.289831,91.967924,0.6459
25.289831,91.977875,0.8936
25.289831,91.987825,0.395
25.289831,91.997776,0.3674
25.289831,92.007726,0.4099
25.289831,92.017677,0.1605
25.289831,92.027628,0.172
25.289831,92.037578,0.1102
25.289831,92.047529,0.0819
25.298814,91.55,0.211
25.298814,91.559951,0.4383
25.298814,91.569901,0.3975
25.298814,91.579852,0.1423
